,k,error
0,5,-451.587266506635
1,10,-451.587266506635
2,15,-451.587266506635
3,20,-451.587266506635
4,25,-451.587266506635
5,30,-451.587266506635
6,35,-451.587266506635
7,40,-451.587266506635
8,45,-451.587266506635
9,50,-451.587266506635
